Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","112","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","108.74","I","Valeur imputée"
"PP","Prix à la Production","112","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","113.88","I","Valeur imputée"
"PP","Prix à la Production","112","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","121.33","I","Valeur imputée"
"PP","Prix à la Production","112","Bélarus","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","128.28","I","Valeur imputée"
"PP","Prix à la Production","056","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","96.54","I","Valeur imputée"
"PP","Prix à la Production","056","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","96.33","I","Valeur imputée"
"PP","Prix à la Production","056","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","97.68","I","Valeur imputée"
"PP","Prix à la Production","056","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2019","2019","7021","Valeur annuel","","94.54","I","Valeur imputée"
"PP","Prix à la Production","056","Belgique","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2020","2020","7021","Valeur annuel","","87.02","I","Valeur imputée"
"PP","Prix à la Production","084","Belize","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2016","2016","7021","Valeur annuel","","109.81","I","Valeur imputée"
"PP","Prix à la Production","084","Belize","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","","113.07","I","Valeur imputée"
"PP","Prix à la Production","084","Belize","5539","Indice des prix à la production (2014-2016 = 100)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2018","2018","7021","Valeur annuel","","113.4","I","Valeur imputée"
